pid,rank,date
wxpUtIv4,52,2017-12-03
UG7x7CeZ,53,2017-12-03
e6LoQxIw,54,2017-12-03
SxdL_VN6,55,2017-12-03
wYZwNMBK,56,2017-12-03
IlbqfHKT,57,2017-12-03
cWjC2ttw,58,2017-12-03
dOSV6VLu,59,2017-12-03
YJ6Vy4Nv,60,2017-12-03
8AjyAF5f,61,2017-12-03
ZzHJ8GG7,62,2017-12-03
sEdO8hht,63,2017-12-03
nAI7nw4v,64,2017-12-03
y3aIN6Vj,65,2017-12-03
iMA-XcSh,66,2017-12-03
PtccHl4F,67,2017-12-03
IUq0Mmjo,68,2017-12-03
aPUTe4sb,69,2017-12-03
ywYcM5y0,70,2017-12-03
rhdnRJOM,71,2017-12-03
rnJh62XO,72,2017-12-03
Wfngq_NC,73,2017-12-03
I8E7jszF,74,2017-12-03
8-bpBBFc,75,2017-12-03
oIyV5KaN,76,2017-12-03
a0yY5aoD,77,2017-12-03
ryviUJgy,78,2017-12-03
2oWa2CKB,79,2017-12-03
HvW-RyE-,80,2017-12-03
8eo2Gj0-,81,2017-12-03
yoLx6Opy,82,2017-12-03
ykCnmE25,83,2017-12-03
1EvZOLZA,84,2017-12-03
yYDStxbl,85,2017-12-03
smValFm8,86,2017-12-03
MkYz16Rk,87,2017-12-03
hAPNuHZP,88,2017-12-03
aFBP7LP_,89,2017-12-03
uVOawf0a,90,2017-12-03
gW9hUEkQ,91,2017-12-03
q-TCdiS-,92,2017-12-03
s9ZYGKqH,93,2017-12-03
68D73d0w,94,2017-12-03
JRrCpewg,95,2017-12-03
xzuzW4sq,96,2017-12-03
xz9ItcwQ,97,2017-12-03
E_h53ExD,98,2017-12-03
RNbtbz4L,99,2017-12-03
rBEhvMT1,100,2017-12-03
MwmZxU1z,1,2017-12-04
TFcwEw7y,2,2017-12-04
1uVZjWMu,3,2017-12-04
hhOmGIls,4,2017-12-04
eWDM9xAe,5,2017-12-04
fMag1Tga,6,2017-12-04
J54I24Qs,7,2017-12-04
Q5dE-6Cm,8,2017-12-04
t4_PwAYp,9,2017-12-04
MVpoxopZ,10,2017-12-04
4RmwbCw4,11,2017-12-04
V3KN74T9,12,2017-12-04
tgmmUOx0,13,2017-12-04
3B7bhdh3,14,2017-12-04
jfSw2sEF,15,2017-12-04
N1DTyWDC,16,2017-12-04
Wfngq_NC,17,2017-12-04
vXaSvEK6,18,2017-12-04
vOTeHcnB,19,2017-12-04
icJam_5l,20,2017-12-04
vM6SpcAX,21,2017-12-04
etvVmxnc,22,2017-12-04
f-x9bxwm,23,2017-12-04
gD-ZZmb-,24,2017-12-04
wpe4NbSF,25,2017-12-04
GoPTQ8dT,26,2017-12-04
1xqHQw3J,27,2017-12-04
X4q99UL7,28,2017-12-04
UG7x7CeZ,29,2017-12-04
QUNHFVVV,30,2017-12-04
1en5VUEt,31,2017-12-04
3hTPwXPr,32,2017-12-04
BKaUtdGp,33,2017-12-04
2zXpXjMp,34,2017-12-04
nAI7nw4v,35,2017-12-04
3CC5nkpg,36,2017-12-04
Tiouijwe,37,2017-12-04
ewzharPB,38,2017-12-04
D3SJuzFQ,39,2017-12-04
og3XtU1p,40,2017-12-04
j8hvJDPs,41,2017-12-04
9VwKDBO4,42,2017-12-04
sEdO8hht,43,2017-12-04
p7E2RtgF,44,2017-12-04
JQNo0TMz,45,2017-12-04
wlyGmMNW,46,2017-12-04
hAPNuHZP,47,2017-12-04
8AjyAF5f,48,2017-12-04
4Qq9sGzS,49,2017-12-04
xoZWy8yV,50,2017-12-04
ykCnmE25,51,2017-12-04
fBMSljcP,52,2017-12-04
wYZwNMBK,53,2017-12-04
I8E7jszF,54,2017-12-04
Wa2ECpqQ,55,2017-12-04
cWjC2ttw,56,2017-12-04
uksx0FeR,57,2017-12-04
IUq0Mmjo,58,2017-12-04
rhdnRJOM,59,2017-12-04
GQwBkPCP,60,2017-12-04
jLw_tYRU,61,2017-12-04
y3aIN6Vj,62,2017-12-04
E_h53ExD,63,2017-12-04
gMCUOdzs,64,2017-12-04
2oWa2CKB,65,2017-12-04
wxpUtIv4,66,2017-12-04
e9jds2zC,67,2017-12-04
AHILcvSG,68,2017-12-04
JRrCpewg,69,2017-12-04
8eo2Gj0-,70,2017-12-04
dOSV6VLu,71,2017-12-04
5TFTWB4V,72,2017-12-04
PtccHl4F,73,2017-12-04
8-bpBBFc,74,2017-12-04
SxdL_VN6,75,2017-12-04
_qkI89L7,76,2017-12-04
fvYRNJSy,77,2017-12-04
MW1joevo,78,2017-12-04
_AaHhmpY,79,2017-12-04
t2UGgCDf,80,2017-12-04
rnJh62XO,81,2017-12-04
C2rN5M5Y,82,2017-12-04
VtD_sdAx,83,2017-12-04
iMA-XcSh,84,2017-12-04
kVGYhq-r,85,2017-12-04
lSTmfWDS,86,2017-12-04
rBEhvMT1,87,2017-12-04
qn3OpWlF,88,2017-12-04
68D73d0w,89,2017-12-04
M-b8gaCr,90,2017-12-04
9yCMCTNq,91,2017-12-04
Z2rHUQrq,92,2017-12-04
QoIckxu9,93,2017-12-04
Grohf5-o,94,2017-12-04
ryviUJgy,95,2017-12-04
yYDStxbl,96,2017-12-04
hJBMcPcc,97,2017-12-04
YK47CRXj,98,2017-12-04
MkYz16Rk,99,2017-12-04
HvW-RyE-,100,2017-12-04
MQfpQt6u,1,2017-12-05
cR6OW098,2,2017-12-05
7CwLvXc6,3,2017-12-05
gW9hUEkQ,4,2017-12-05
hhOmGIls,5,2017-12-05
J54I24Qs,6,2017-12-05
N1DTyWDC,7,2017-12-05
Wfngq_NC,8,2017-12-05
Q5dE-6Cm,9,2017-12-05
vXaSvEK6,10,2017-12-05
3B7bhdh3,11,2017-12-05
eWDM9xAe,12,2017-12-05
fMag1Tga,13,2017-12-05
vM6SpcAX,14,2017-12-05
MwmZxU1z,15,2017-12-05
BKaUtdGp,16,2017-12-05
TFcwEw7y,17,2017-12-05
t4_PwAYp,18,2017-12-05
1uVZjWMu,19,2017-12-05
wpe4NbSF,20,2017-12-05
SxdL_VN6,21,2017-12-05
ryviUJgy,22,2017-12-05
vOTeHcnB,23,2017-12-05
V3KN74T9,24,2017-12-05
tgmmUOx0,25,2017-12-05
4RmwbCw4,26,2017-12-05
uf3FMxIG,27,2017-12-05
gD-ZZmb-,28,2017-12-05
X4q99UL7,29,2017-12-05
f-x9bxwm,30,2017-12-05
2oWa2CKB,31,2017-12-05
IUq0Mmjo,32,2017-12-05
GoPTQ8dT,33,2017-12-05
3hTPwXPr,34,2017-12-05
Tiouijwe,35,2017-12-05
uksx0FeR,36,2017-12-05
1KkUgXoM,37,2017-12-05
YJ6Vy4Nv,38,2017-12-05
8eo2Gj0-,39,2017-12-05
1xqHQw3J,40,2017-12-05
wlyGmMNW,41,2017-12-05
icJam_5l,42,2017-12-05
nAI7nw4v,43,2017-12-05
PqoFjtzu,44,2017-12-05
AKlqM6AM,45,2017-12-05
CwiGS1De,46,2017-12-05
dOSV6VLu,47,2017-12-05
2zXpXjMp,48,2017-12-05
QUNHFVVV,49,2017-12-05
MVpoxopZ,50,2017-12-05
xTOtGBbA,51,2017-12-05
y3aIN6Vj,52,2017-12-05
BSgKaQmC,53,2017-12-05
xoZWy8yV,54,2017-12-05
cWjC2ttw,55,2017-12-05
sEdO8hht,56,2017-12-05
NebtSti2,57,2017-12-05
UG7x7CeZ,58,2017-12-05
4Qq9sGzS,59,2017-12-05
og3XtU1p,60,2017-12-05
BzXPe5je,61,2017-12-05
I8E7jszF,62,2017-12-05
jLw_tYRU,63,2017-12-05
gMCUOdzs,64,2017-12-05
Paem2Kf1,65,2017-12-05
j8hvJDPs,66,2017-12-05
ykCnmE25,67,2017-12-05
Grohf5-o,68,2017-12-05
wXU-1C_6,69,2017-12-05
etvVmxnc,70,2017-12-05
vV8EQOxT,71,2017-12-05
68Mzp1yU,72,2017-12-05
Ra9F5rTD,73,2017-12-05
IlbqfHKT,74,2017-12-05
lSTmfWDS,75,2017-12-05
uiEWT3kP,76,2017-12-05
1EvZOLZA,77,2017-12-05
hJBMcPcc,78,2017-12-05
ywYcM5y0,79,2017-12-05
kVGYhq-r,80,2017-12-05
L24_-3Mk,81,2017-12-05
SM-rvz75,82,2017-12-05
OBKIcju5,83,2017-12-05
fBMSljcP,84,2017-12-05
hAPNuHZP,85,2017-12-05
rnJh62XO,86,2017-12-05
3x-IwBwd,87,2017-12-05
E_h53ExD,88,2017-12-05
qn3OpWlF,89,2017-12-05
t2UGgCDf,90,2017-12-05
rhdnRJOM,91,2017-12-05
ZzHJ8GG7,92,2017-12-05
nllxV6hU,93,2017-12-05
67d1h4XH,94,2017-12-05
JQNo0TMz,95,2017-12-05
7ycwqJgL,96,2017-12-05
Xo1Z1OwW,97,2017-12-05
rCOEcopo,98,2017-12-05
gMTqgK-l,99,2017-12-05
qSsPwP8L,100,2017-12-05
MQfpQt6u,1,2017-12-06
J54I24Qs,2,2017-12-06
hhOmGIls,3,2017-12-06
ZzHJ8GG7,4,2017-12-06
3B7bhdh3,5,2017-12-06
eWDM9xAe,6,2017-12-06
Wfngq_NC,7,2017-12-06
BKaUtdGp,8,2017-12-06
Q5dE-6Cm,9,2017-12-06
1uVZjWMu,10,2017-12-06
fMag1Tga,11,2017-12-06
